NAME	TITLE	SCORE	
FAM20C	FAM20C golgi associated secretory pathway kinase [Source:HGNC Symbol;Acc:HGNC:22140]	1.1253185	
NFAM1	NFAT activating protein with ITAM motif 1 [Source:HGNC Symbol;Acc:HGNC:29872]	1.124561	
SCN9A	sodium voltage-gated channel alpha subunit 9 [Source:HGNC Symbol;Acc:HGNC:10597]	1.1233479	
FES	FES proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3657]	1.1180459	
ODF3B	outer dense fiber of sperm tails 3B [Source:HGNC Symbol;Acc:HGNC:34388]	1.1172247	
TLR4	toll like receptor 4 [Source:HGNC Symbol;Acc:HGNC:11850]	1.1053525	
GPR162	G protein-coupled receptor 162 [Source:HGNC Symbol;Acc:HGNC:16693]	1.1034877	
RBM47	RNA binding motif protein 47 [Source:HGNC Symbol;Acc:HGNC:30358]	1.0977951	
VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	1.0962139	
RPL7AP64	ribosomal protein L7a pseudogene 64 [Source:HGNC Symbol;Acc:HGNC:35821]	1.0927328	
SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]	1.0903376	
ANKRD22	ankyrin repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:28321]	1.0886908	
TNFAIP2	TNF alpha induced protein 2 [Source:HGNC Symbol;Acc:HGNC:11895]	1.0867865	
LGALS3BP	galectin 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6564]	1.0775051	
ETV7	ETS variant transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:18160]	1.0754933	
MEGF9	multiple EGF like domains 9 [Source:HGNC Symbol;Acc:HGNC:3234]	1.0740769	
KCNJ2	potassium inwardly rectifying channel subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:6263]	1.0740608	
LILRA6	leukocyte immunoglobulin like receptor A6 [Source:HGNC Symbol;Acc:HGNC:15495]	1.0735753	
LMNB1	lamin B1 [Source:HGNC Symbol;Acc:HGNC:6637]	1.0689648	
CSF2RB	colony stimulating factor 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:2436]	1.0677722	
GAPDHP40	glyceraldehyde 3 phosphate dehydrogenase pseudogene 40 [Source:HGNC Symbol;Acc:HGNC:37797]	1.0592666	
GRN	granulin precursor [Source:HGNC Symbol;Acc:HGNC:4601]	1.0564426	
CLEC4E	C-type lectin domain family 4 member E [Source:HGNC Symbol;Acc:HGNC:14555]	1.0542803	
CCR1	C-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:1602]	1.0481491	
LTBR	lymphotoxin beta receptor [Source:HGNC Symbol;Acc:HGNC:6718]	1.0480001	
LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	1.045631	
CSF3R	colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439]	1.0392206	
MEFV	MEFV innate immunity regulator, pyrin [Source:HGNC Symbol;Acc:HGNC:6998]	1.0365064	
ASGR2	asialoglycoprotein receptor 2 [Source:HGNC Symbol;Acc:HGNC:743]	1.0353386	
NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	1.0353181	
GBP1	guanylate binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4182]	1.0294315	
FCGR1CP	Fc gamma receptor Ic, pseudogene [Source:HGNC Symbol;Acc:HGNC:3615]	1.0256174	
JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	1.0253989	
CD14	CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]	1.0214831	
TSPO	translocator protein [Source:HGNC Symbol;Acc:HGNC:1158]	1.0214101	
IFITM3	interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:5414]	1.0211715	
SLC43A3	solute carrier family 43 member 3 [Source:HGNC Symbol;Acc:HGNC:17466]	1.0141872	
P2RY13	purinergic receptor P2Y13 [Source:HGNC Symbol;Acc:HGNC:4537]	1.0115849	
JAK3	Janus kinase 3 [Source:HGNC Symbol;Acc:HGNC:6193]	1.0078162	
PPP1R14B-AS1	PPP1R14B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:54233]	1.0074452	
FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	1.0053092	
IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	1.0028063	
OSCAR	osteoclast associated Ig-like receptor [Source:HGNC Symbol;Acc:HGNC:29960]	1.0020107	
FCN1	ficolin 1 [Source:HGNC Symbol;Acc:HGNC:3623]	1.00099	
DSC2	desmocollin 2 [Source:HGNC Symbol;Acc:HGNC:3036]	1.000855	
FPR2	formyl peptide receptor 2 [Source:HGNC Symbol;Acc:HGNC:3827]	1.0007056	
CEBPB	CCAAT enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]	0.99682283	
AQP9	aquaporin 9 [Source:HGNC Symbol;Acc:HGNC:643]	0.99280363	
DHRS7B	dehydrogenase/reductase 7B [Source:HGNC Symbol;Acc:HGNC:24547]	0.98756254	
SLITRK4	SLIT and NTRK like family member 4 [Source:HGNC Symbol;Acc:HGNC:23502]	0.9853966	
ETF1	eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:HGNC:3477]	0.9850786	
SCO2	synthesis of cytochrome C oxidase 2 [Source:HGNC Symbol;Acc:HGNC:10604]	0.982685	
DYRK3	dual specificity tyrosine phosphorylation regulated kinase 3 [Source:HGNC Symbol;Acc:HGNC:3094]	0.9794262	
CPQ	carboxypeptidase Q [Source:HGNC Symbol;Acc:HGNC:16910]	0.97861236	
MGAT3	beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7046]	0.9745979	
FCAR	Fc alpha receptor [Source:HGNC Symbol;Acc:HGNC:3608]	0.9736595	
SLC3A2	solute carrier family 3 member 2 [Source:HGNC Symbol;Acc:HGNC:11026]	0.9709487	
CLEC6A	C-type lectin domain containing 6A [Source:HGNC Symbol;Acc:HGNC:14556]	0.97067213	
HSPB1P1	heat shock protein family B (small) member 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:5251]	0.969298	
SERPINA1	serpin family A member 1 [Source:HGNC Symbol;Acc:HGNC:8941]	0.96671325	
BTNL8	butyrophilin like 8 [Source:HGNC Symbol;Acc:HGNC:26131]	0.957145	
SULT1A1	sulfotransferase family 1A member 1 [Source:HGNC Symbol;Acc:HGNC:11453]	0.95425224	
LRP1	LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692]	0.9531129	
APLP2	amyloid beta precursor like protein 2 [Source:HGNC Symbol;Acc:HGNC:598]	0.9516486	
KLF4	KLF transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	0.95079494	
CSF2RA	colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435]	0.942741	
GUSB	glucuronidase beta [Source:HGNC Symbol;Acc:HGNC:4696]	0.93892175	
ATP6V1B2	ATPase H+ transporting V1 subunit B2 [Source:HGNC Symbol;Acc:HGNC:854]	0.9386363	
GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	0.93576396	
TLR8	toll like receptor 8 [Source:HGNC Symbol;Acc:HGNC:15632]	0.93402076	
WIF1	WNT inhibitory factor 1 [Source:HGNC Symbol;Acc:HGNC:18081]	0.9331216	
TXNDC5	thioredoxin domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21073]	0.93291366	
VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	0.93115157	
LRRC25	leucine rich repeat containing 25 [Source:HGNC Symbol;Acc:HGNC:29806]	0.9297197	
TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]	0.92800516	
STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	0.9266419	
CMPK2	cytidine/uridine monophosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:27015]	0.92610526	
SCIRT	stem cell inhibitory RNA transcript [Source:HGNC Symbol;Acc:HGNC:55341]	0.92445165	
SIMALR	suppressor of inflammatory macrophage apoptosis lncRNA [Source:HGNC Symbol;Acc:HGNC:53554]	0.9233033	
CTSW	cathepsin W [Source:HGNC Symbol;Acc:HGNC:2546]	0.9220389	
FPR1	formyl peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:3826]	0.9217495	
ARRB2	arrestin beta 2 [Source:HGNC Symbol;Acc:HGNC:712]	0.9208012	
GASK1B	golgi associated kinase 1B [Source:HGNC Symbol;Acc:HGNC:25312]	0.9195708	
LIPN	lipase family member N [Source:HGNC Symbol;Acc:HGNC:23452]	0.91913295	
NLRC4	NLR family CARD domain containing 4 [Source:HGNC Symbol;Acc:HGNC:16412]	0.9190367	
VAT1	vesicle amine transport 1 [Source:HGNC Symbol;Acc:HGNC:16919]	0.9184117	
IFI27	interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]	0.91633916	
CUEDC1	CUE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:31350]	0.9144334	
PLBD1	phospholipase B domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26215]	0.9137037	
LIMK2	LIM domain kinase 2 [Source:HGNC Symbol;Acc:HGNC:6614]	0.91366935	
OR52K2	olfactory receptor family 52 subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:15223]	0.9128645	
PALM2AKAP2	PALM2 and AKAP2 fusion [Source:HGNC Symbol;Acc:HGNC:33529]	0.9078922	
IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	0.90640086	
RNH1	ribonuclease/angiogenin inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:10074]	0.9051627	
TRIOBP	TRIO and F-actin binding protein [Source:HGNC Symbol;Acc:HGNC:17009]	0.9036102	
CD300E	CD300e molecule [Source:HGNC Symbol;Acc:HGNC:28874]	0.903088	
FAM131A	family with sequence similarity 131 member A [Source:HGNC Symbol;Acc:HGNC:28308]	0.90202117	
LILRB2	leukocyte immunoglobulin like receptor B2 [Source:HGNC Symbol;Acc:HGNC:6606]	0.9011314	
CYP1B1	cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597]	0.90047187	
PARP9	poly(ADP-ribose) polymerase family member 9 [Source:HGNC Symbol;Acc:HGNC:24118]	0.90001744	
ENSG00000289609	novel transcript	0.89987004	
DPYSL2	dihydropyrimidinase like 2 [Source:HGNC Symbol;Acc:HGNC:3014]	0.89814353	
REEP5	receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]	0.8980508	
CD93	CD93 molecule [Source:HGNC Symbol;Acc:HGNC:15855]	0.8974055	
FAM20A	FAM20A golgi associated secretory pathway pseudokinase [Source:HGNC Symbol;Acc:HGNC:23015]	0.8972545	
FUZ	fuzzy planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:26219]	0.8972372	
TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	0.8958186	
CYP27A1	cytochrome P450 family 27 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2605]	0.89119816	
MID1IP1-AS1	MID1IP1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40932]	0.88813555	
FFAR2	free fatty acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:4501]	0.887684	
ULK4P2	ULK4 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:15776]	0.88721067	
EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	0.8861272	
IFITM2	interferon induced transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:5413]	0.88528246	
EFCC1	EF-hand and coiled-coil domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25692]	0.8850917	
MTND5P32	MT-ND5 pseudogene 32 [Source:HGNC Symbol;Acc:HGNC:51951]	0.88411766	
BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	0.88232386	
SIGLEC9	sialic acid binding Ig like lectin 9 [Source:HGNC Symbol;Acc:HGNC:10878]	0.88202107	
SLC25A11	solute carrier family 25 member 11 [Source:HGNC Symbol;Acc:HGNC:10981]	0.88132787	
SGSM3	small G protein signaling modulator 3 [Source:HGNC Symbol;Acc:HGNC:25228]	0.8809099	
NLRP3	NLR family pyrin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:16400]	0.8803115	
SULF2	sulfatase 2 [Source:HGNC Symbol;Acc:HGNC:20392]	0.8799697	
DAZAP2P1	DAZ associated protein 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43869]	0.8782198	
TMED10	transmembrane p24 trafficking protein 10 [Source:HGNC Symbol;Acc:HGNC:16998]	0.8770589	
SIGLEC1	sialic acid binding Ig like lectin 1 [Source:HGNC Symbol;Acc:HGNC:11127]	0.87678206	
PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:9081]	0.87559694	
PISD	phosphatidylserine decarboxylase [Source:HGNC Symbol;Acc:HGNC:8999]	0.87441105	
S100A8	S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]	0.8730253	
CIDEC	cell death inducing DFFA like effector c [Source:HGNC Symbol;Acc:HGNC:24229]	0.87250245	
ABHD14A	abhydrolase domain containing 14A [Source:HGNC Symbol;Acc:HGNC:24538]	0.87231886	
ACVRL1	activin A receptor like type 1 [Source:HGNC Symbol;Acc:HGNC:175]	0.8686242	
LILRA5	leukocyte immunoglobulin like receptor A5 [Source:HGNC Symbol;Acc:HGNC:16309]	0.86800593	
SLC22A16	solute carrier family 22 member 16 [Source:HGNC Symbol;Acc:HGNC:20302]	0.86715853	
SLC46A2	solute carrier family 46 member 2 [Source:HGNC Symbol;Acc:HGNC:16055]	0.86697406	
HSPA6	heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239]	0.8657358	
EXOC3L1	exocyst complex component 3 like 1 [Source:HGNC Symbol;Acc:HGNC:27540]	0.86540693	
RAB34	RAB34, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16519]	0.86514956	
C11orf96	chromosome 11 open reading frame 96 [Source:HGNC Symbol;Acc:HGNC:38675]	0.86482185	
TKFC	triokinase and FMN cyclase [Source:HGNC Symbol;Acc:HGNC:24552]	0.86455	
PNPLA2	patatin like phospholipase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30802]	0.8643139	
TGM2	transglutaminase 2 [Source:HGNC Symbol;Acc:HGNC:11778]	0.86057705	
NUDT4B	nudix hydrolase 4B [Source:HGNC Symbol;Acc:HGNC:18012]	0.859668	
NETO2	neuropilin and tolloid like 2 [Source:HGNC Symbol;Acc:HGNC:14644]	0.85942215	
PGLYRP1	peptidoglycan recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:8904]	0.85896814	
OSM	oncostatin M [Source:HGNC Symbol;Acc:HGNC:8506]	0.85735077	
TECR	trans-2,3-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:4551]	0.8564973	
CCR5AS	CCR5 antisense RNA [Source:HGNC Symbol;Acc:HGNC:54398]	0.856356	
ADAMTSL4	ADAMTS like 4 [Source:HGNC Symbol;Acc:HGNC:19706]	0.8547489	
ATMIN	ATM interactor [Source:HGNC Symbol;Acc:HGNC:29034]	0.85353327	
HRH2	histamine receptor H2 [Source:HGNC Symbol;Acc:HGNC:5183]	0.85334206	
RHAG	Rh associated glycoprotein [Source:HGNC Symbol;Acc:HGNC:10006]	0.852824	
GAB3	GRB2 associated binding protein 3 [Source:HGNC Symbol;Acc:HGNC:17515]	0.8523387	
REXO2	RNA exonuclease 2 [Source:HGNC Symbol;Acc:HGNC:17851]	0.84854054	
F2RL1	F2R like trypsin receptor 1 [Source:HGNC Symbol;Acc:HGNC:3538]	0.8471583	
MS4A6A	membrane spanning 4-domains A6A [Source:HGNC Symbol;Acc:HGNC:13375]	0.8470427	
NCF2	neutrophil cytosolic factor 2 [Source:HGNC Symbol;Acc:HGNC:7661]	0.8464647	
LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	0.845934	
HLX	H2.0 like homeobox [Source:HGNC Symbol;Acc:HGNC:4978]	0.8455549	
SHISA4	shisa family member 4 [Source:HGNC Symbol;Acc:HGNC:27139]	0.84529245	
BORCS7	BLOC-1 related complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:23516]	0.84300774	
FCGRT	Fc gamma receptor and transporter [Source:HGNC Symbol;Acc:HGNC:3621]	0.8429929	
MBOAT7	membrane bound O-acyltransferase domain containing 7 [Source:HGNC Symbol;Acc:HGNC:15505]	0.8429046	
CLN6	CLN6 transmembrane ER protein [Source:HGNC Symbol;Acc:HGNC:2077]	0.8392594	
RGS9BP	regulator of G protein signaling 9 binding protein [Source:HGNC Symbol;Acc:HGNC:30304]	0.837098	
DEFA4	defensin alpha 4 [Source:HGNC Symbol;Acc:HGNC:2763]	0.836333	
BCL2A1	BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991]	0.8354628	
HK3	hexokinase 3 [Source:HGNC Symbol;Acc:HGNC:4925]	0.83525664	
S1PR3	sphingosine-1-phosphate receptor 3 [Source:HGNC Symbol;Acc:HGNC:3167]	0.8352206	
BATF2	basic leucine zipper ATF-like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:25163]	0.83481365	
RN7SL231P	RNA, 7SL, cytoplasmic 231, pseudogene [Source:HGNC Symbol;Acc:HGNC:46247]	0.83364123	
SH3GL3	SH3 domain containing GRB2 like 3, endophilin A3 [Source:HGNC Symbol;Acc:HGNC:10832]	0.83349097	
CRYM	crystallin mu [Source:HGNC Symbol;Acc:HGNC:2418]	0.83315426	
CLEC5A	C-type lectin domain containing 5A [Source:HGNC Symbol;Acc:HGNC:2054]	0.8330982	
MAFB	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	0.8318813	
OGFOD1	2-oxoglutarate and iron dependent oxygenase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25585]	0.83185583	
RSAD2	radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30908]	0.83083963	
TSPAN4	tetraspanin 4 [Source:HGNC Symbol;Acc:HGNC:11859]	0.8300103	
AP1B1	adaptor related protein complex 1 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:554]	0.8299159	
ANXA5	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	0.8298793	
CD33	CD33 molecule [Source:HGNC Symbol;Acc:HGNC:1659]	0.8293986	
MRC1	mannose receptor C-type 1 [Source:HGNC Symbol;Acc:HGNC:7228]	0.826304	
FNDC4	fibronectin type III domain containing 4 [Source:HGNC Symbol;Acc:HGNC:20239]	0.8241772	
GFUS	GDP-L-fucose synthase [Source:HGNC Symbol;Acc:HGNC:12390]	0.8235004	
LPCAT2	lysophosphatidylcholine acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:26032]	0.8228532	
BCL2L2-PABPN1	BCL2L2-PABPN1 readthrough [Source:HGNC Symbol;Acc:HGNC:42959]	0.82210034	
RN7SL414P	RNA, 7SL, cytoplasmic 414, pseudogene [Source:HGNC Symbol;Acc:HGNC:46430]	0.8203203	
IL13RA1	interleukin 13 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:5974]	0.8177411	
EMILIN2	elastin microfibril interfacer 2 [Source:HGNC Symbol;Acc:HGNC:19881]	0.8176325	
PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	0.8160257	
MYADM	myeloid associated differentiation marker [Source:HGNC Symbol;Acc:HGNC:7544]	0.81487226	
HSFX1	heat shock transcription factor family, X-linked 1 [Source:HGNC Symbol;Acc:HGNC:29603]	0.8134587	
LYZ	lysozyme [Source:HGNC Symbol;Acc:HGNC:6740]	0.81339175	
JAML	junction adhesion molecule like [Source:HGNC Symbol;Acc:HGNC:19084]	0.81262666	
S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	0.8120448	
BST1	bone marrow stromal cell antigen 1 [Source:HGNC Symbol;Acc:HGNC:1118]	0.8111574	
SQLE	squalene epoxidase [Source:HGNC Symbol;Acc:HGNC:11279]	0.8108921	
POLL	DNA polymerase lambda [Source:HGNC Symbol;Acc:HGNC:9184]	0.8101988	
SIGLEC16	sialic acid binding Ig like lectin 16 [Source:HGNC Symbol;Acc:HGNC:24851]	0.8090617	
LINC03040	long intergenic non-protein coding RNA 3040 [Source:HGNC Symbol;Acc:HGNC:28692]	0.8087108	
HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 [Source:HGNC Symbol;Acc:HGNC:26072]	0.8084628	
MTARC1	mitochondrial amidoxime reducing component 1 [Source:HGNC Symbol;Acc:HGNC:26189]	0.8083	
CAMKK1	calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]	0.80300903	
SLC25A1	solute carrier family 25 member 1 [Source:HGNC Symbol;Acc:HGNC:10979]	0.8028575	
CPVL	carboxypeptidase vitellogenic like [Source:HGNC Symbol;Acc:HGNC:14399]	0.8023824	
CYP4F3	cytochrome P450 family 4 subfamily F member 3 [Source:HGNC Symbol;Acc:HGNC:2646]	0.8023047	
LRP3	LDL receptor related protein 3 [Source:HGNC Symbol;Acc:HGNC:6695]	0.8017542	
MYOF	myoferlin [Source:HGNC Symbol;Acc:HGNC:3656]	0.8016046	
GMCL1	germ cell-less 1, spermatogenesis associated [Source:HGNC Symbol;Acc:HGNC:23843]	0.80065215	
EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	0.80022633	
BRI3	brain protein I3 [Source:HGNC Symbol;Acc:HGNC:1109]	0.7995847	
IFIT3	interferon induced protein with tetratricopeptide repeats 3 [Source:HGNC Symbol;Acc:HGNC:5411]	0.79825187	
CD300LF	CD300 molecule like family member f [Source:HGNC Symbol;Acc:HGNC:29883]	0.79803973	
GPR84	G protein-coupled receptor 84 [Source:HGNC Symbol;Acc:HGNC:4535]	0.7979155	
GPAT3	glycerol-3-phosphate acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:28157]	0.79778427	
HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 [Source:HGNC Symbol;Acc:HGNC:18324]	0.79677963	
RGS2	regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:HGNC:9998]	0.79667944	
RASGRP4	RAS guanyl releasing protein 4 [Source:HGNC Symbol;Acc:HGNC:18958]	0.7961498	
JOSD2	Josephin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28853]	0.79439014	
PGS1	phosphatidylglycerophosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:30029]	0.794341	
PRSS50	serine protease 50 [Source:HGNC Symbol;Acc:HGNC:17910]	0.79399997	
TP53I3	tumor protein p53 inducible protein 3 [Source:HGNC Symbol;Acc:HGNC:19373]	0.7939313	
EPHB2	EPH receptor B2 [Source:HGNC Symbol;Acc:HGNC:3393]	0.79298437	
RHOBTB3	Rho related BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18757]	0.792691	
NINJ1	ninjurin 1 [Source:HGNC Symbol;Acc:HGNC:7824]	0.7909669	
C5AR1	complement C5a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1338]	0.7909633	
PADI2	peptidyl arginine deiminase 2 [Source:HGNC Symbol;Acc:HGNC:18341]	0.79076344	
LY6E	lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727]	0.78950274	
MAP7D1	MAP7 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25514]	0.78832245	
RAB12	RAB12, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:31332]	0.78761375	
SLC43A2	solute carrier family 43 member 2 [Source:HGNC Symbol;Acc:HGNC:23087]	0.7858653	
CYBB	cytochrome b-245 beta chain [Source:HGNC Symbol;Acc:HGNC:2578]	0.7858152	
